time,stamp,level,name,msg,file,function,line
2023/06/29 11:16:00.27496708,"{'secs': 1688002518, 'nsecs': 836576756}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:16:00.29034198,"{'secs': 1688002518, 'nsecs': 838230595}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:16:00.126765890,"{'secs': 1688002518, 'nsecs': 936579717}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:16:00.128248374,"{'secs': 1688002518, 'nsecs': 938254143}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:16:00.185527985,"{'secs': 1688004960, 'nsecs': 184661757}",20,differentiater,All topics received,/home/jiyoung/snuboat_ws/src/snuboat_nav/snuboat_nav/differentiater.py,check_topics_status,44
2023/06/29 11:16:00.227407495,"{'secs': 1688002519, 'nsecs': 36587213}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:16:00.228818439,"{'secs': 1688002519, 'nsecs': 38315595}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:16:00.327414175,"{'secs': 1688002519, 'nsecs': 136634086}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:16:00.328957931,"{'secs': 1688002519, 'nsecs': 138288151}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:16:00.427324507,"{'secs': 1688002519, 'nsecs': 236576125}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:16:00.428761009,"{'secs': 1688002519, 'nsecs': 238258963}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:16:00.526771800,"{'secs': 1688002519, 'nsecs': 336578173}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:16:00.528874223,"{'secs': 1688002519, 'nsecs': 338221668}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:16:00.627025234,"{'secs': 1688002519, 'nsecs': 436586573}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
2023/06/29 11:16:00.628401781,"{'secs': 1688002519, 'nsecs': 438277267}",20,kaboat_gps_rtk,"Longitude is: ""126.9516913333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,43
2023/06/29 11:16:00.728445704,"{'secs': 1688002519, 'nsecs': 537697697}",20,kaboat_gps_rtk,"Latitude is: ""37.4558358333""",/home/jiyoung/snuboat_ws/src/kaboat_gps_rtk/kaboat_gps_rtk/kaboat_gps_rtk.py,timer_callback,42
